event_date,year,disorder_type,event_type,sub_event_type,actor1,inter1,admin1,admin2,location,latitude,longitude,fatalities
2024-06-09,2024,Political violence,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Nigeria),3,Akwa Ibom,Mkpat Enin,Ikot Abassi,4.7247,7.7427,0.0
2024-06-09,2024,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Nigeria (2023-),1,Kaduna,Igabi,Sabon Birni,10.8121,7.3022,10.0
2024-06-09,2024,Political violence,Battles,Armed clash,Military Forces of Nigeria (2023-),1,Kaduna,Kajuru,Kajuru,10.3192,7.6892,5.0
2024-06-09,2024,Political violence,Violence against civilians,Abduction/forced disappearance,Kaduna Communal Militia (Nigeria),4,Kaduna,Zangon Kataf,Zaman Dabo,9.8383,8.4691,0.0
2024-06-09,2024,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Nigeria (2023-),1,Katsina,Kankara,Kankara,11.9302,7.4127,29.0
2024-06-09,2024,Political violence,Battles,Armed clash,Katsina Communal Militia (Nigeria),4,Katsina,Kankara,Kankara,11.9302,7.4127,6.0
2024-06-09,2024,Political violence,Violence against civilians,Attack,Katsina Communal Militia (Nigeria),4,Katsina,Kankara,Kankara,11.9302,7.4127,14.0
2024-06-09,2024,Political violence,Violence against civilians,Attack,Katsina Communal Militia (Nigeria),4,Katsina,Kankara,Yargoje,11.8693,7.4756,14.0
2024-06-09,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Lagos,Amowo-Odofin,Festac,6.4663,3.283,0.0
2024-06-09,2024,Political violence,Violence against civilians,Attack,Niger Communal Militia (Nigeria),4,Niger,Shiroro,Kuta,9.8686,6.7104,1.0
2024-06-09,2024,Political violence,Battles,Armed clash,Unidentified Armed Group (Nigeria),3,Delta,Ughelli North,Ughelli,5.4899,6.0074,0.0
2024-06-09,2024,Strategic developments,Strategic developments,Other,Islamic State (West Africa),2,Borno,Maiduguri Metro,Maiduguri,11.8312,13.1517,0.0
2024-06-09,2024,Political violence,Battles,Armed clash,SVC: Supreme Vikings Confraternity (Nigeria),3,Anambra,Awka South,Awka,6.2101,7.0741,1.0
2024-06-08,2024,Strategic developments,Strategic developments,Other,Zamfara Communal Militia (Nigeria),4,Katsina,Faskari,Yankara,11.7825,7.0778,0.0
2024-06-08,2024,Political violence,Battles,Armed clash,Military Forces of Nigeria (2023-),1,Abia,Arochukwu,Arochukwu,5.3898,7.914,6.0
2024-06-08,2024,Political violence,Violence against civilians,Attack,Kaduna Communal Militia (Nigeria),4,Kaduna,Kajuru,Kufana,10.2962,7.7537,1.0
2024-06-08,2024,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),3,Taraba,Wukari,Deke,7.9017,9.7238,2.0
2024-06-08,2024,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),3,Taraba,Wukari,Kente,7.8969,9.4858,9.0
2024-06-08,2024,Political violence,Battles,Armed clash,Buccaneers (Nigeria),3,Ogun,Abeokuta South,Abeokuta,7.15,3.35,0.0
2024-06-08,2024,Political violence,Battles,Armed clash,Military Forces of Nigeria (2023-),1,Katsina,Malumfashi,Unguwar Mai Rabo,11.7748,7.4873,0.0
2024-06-07,2024,Political violence,Violence against civilians,Abduction/forced disappearance,Zamfara Communal Militia (Nigeria),4,Zamfara,Bungudu,Gada,12.2887,6.4804,0.0
2024-06-07,2024,Political violence,Battles,Armed clash,Black Axe (Nigeria),3,Enugu,Enugu East,Emene,6.4759,7.584,1.0
2024-06-07,2024,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),3,Borno,Gubio,Jilli,12.6149,12.4691,1.0
2024-06-07,2024,Strategic developments,Strategic developments,Looting/property destruction,Zamfara Communal Militia (Nigeria),4,Zamfara,Bungudu,Nahuche,12.3803,6.5342,0.0
2024-06-07,2024,Political violence,Violence against civilians,Abduction/forced disappearance,Police Forces of Nigeria (2023-) NSCDC: Nigeria Security and Civil Defence Corps,1,Ebonyi,Ivo,Ishiagu,5.9529,7.5601,0.0
2024-06-07,2024,Political violence,Violence against civilians,Attack,Hunters Group of Nigeria,4,Adamawa,Maiha,Maiha,9.9956,13.2181,1.0
2024-06-07,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Akwa Ibom,Essien Udim,Ukana,5.1243,7.7733,0.0
2024-06-07,2024,Political violence,Battles,Armed clash,Unidentified Armed Group (Nigeria),3,Edo,Esan West,Ekpoma,6.7421,6.139,0.0
2024-06-07,2024,Political violence,Battles,Armed clash,Unidentified Cult Militia (Nigeria),3,Edo,Ovia South West,Okomu,6.2657,5.1039,0.0
2024-06-07,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Katsina,Safana,Safana,12.3778,7.377,0.0
2024-06-07,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Kwara,Ilorin West,Tunde Idiagbon International Airport Ilorin,8.4363,4.4953,0.0
2024-06-07,2024,Political violence,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Nigeria),3,Nassarawa,Karu,Uke,8.9172,7.6975,0.0
2024-06-07,2024,Political violence,Violence against civilians,Attack,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,2,Niger,Shiroro,Bassa,10.0986,6.6197,20.0
2024-06-07,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Yobe,Nangere,Nangere,11.864,11.0698,0.0
2024-06-07,2024,Political violence,Battles,Armed clash,Police Forces of Nigeria (2023-),1,Kaduna,Kachia,Gidan Dogo,9.6209,7.4375,0.0
2024-06-07,2024,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),3,Bauchi,Bauchi,Rafin Zurfi,10.2603,9.7841,0.0
2024-06-07,2024,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),3,Enugu,Enugu East,Neke Odenigbo,6.6616,7.575,1.0
2024-06-07,2024,Political violence,Battles,Armed clash,Unidentified Cult Militia (Nigeria),3,Abia,Aba North,Ehere,5.1081,7.3951,1.0
2024-06-07,2024,Political violence,Battles,Armed clash,Police Forces of Nigeria (2023-),1,Katsina,Sabuwa,Maibakko,11.2566,7.1228,3.0
2024-06-07,2024,Strategic developments,Strategic developments,Looting/property destruction,Unidentified Armed Group (Nigeria),3,Edo,Oredo,Benin City,6.3351,5.6275,0.0
2024-06-07,2024,Political violence,Battles,Armed clash,Police Forces of Nigeria (2023-),1,Kaduna,Kachia,Kachia,9.8734,7.9541,0.0
2024-06-07,2024,Strategic developments,Strategic developments,Disrupted weapons use,Military Forces of Nigeria (2023-),1,Zamfara,Gusau,Gusau,12.1628,6.6614,0.0
2024-06-07,2024,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Nigeria (2023-),1,Abia,Ukwa West,Obiaku,4.8829,7.1968,0.0
2024-06-06,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Edo,Esan West,Ekpoma,6.7421,6.139,0.0
2024-06-06,2024,Political violence,Violence against civilians,Attack,Katsina Communal Militia (Nigeria),4,Katsina,Dutsinma,Dogon Ruwa,12.3229,7.3912,4.0
2024-06-06,2024,Political violence,Violence against civilians,Attack,Katsina Communal Militia (Nigeria),4,Katsina,Safana,Kunamawa,12.3579,7.3773,4.0
2024-06-06,2024,Political violence,Violence against civilians,Attack,Ikale Communal Militia (Nigeria),4,Ondo,Okitipupa,Igbobini,6.5043,4.8231,1.0
2024-06-06,2024,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Islamic State (West Africa),2,Borno,Bama,Banki,11.2551,14.1482,0.0
2024-06-06,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Plateau,Jos North,Jos,9.9285,8.8921,0.0
2024-06-06,2024,Political violence,Battles,Armed clash,Oghara Communal Militia (Nigeria),4,Delta,Ethiope West,Oghara,5.9355,5.6661,1.0
2024-06-05,2024,Political violence,Battles,Armed clash,Black Axe (Nigeria),3,Abia,Aba South,Aba,5.1066,7.3667,0.0
2024-06-05,2024,Political violence,Violence against civilians,Attack,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,2,Borno,Biu,Kamuya,11.0325,12.0579,3.0
2024-06-05,2024,Political violence,Battles,Armed clash,Black Axe (Nigeria),3,Edo,Etsako West,Auchi,7.0667,6.2667,1.0
2024-06-05,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Enugu,Nsukka,Nsukka,6.8561,7.3927,0.0
2024-06-05,2024,Political violence,Battles,Armed clash,Police Forces of Nigeria (2023-),1,Kaduna,Sanga,Fadan-Ninzo,9.158,8.53,0.0
2024-06-05,2024,Political violence,Violence against civilians,Attack,Katsina Communal Militia (Nigeria),4,Katsina,Dutsinma,Dogon Ruwa,12.3229,7.3912,4.0
2024-06-05,2024,Political violence,Violence against civilians,Attack,Katsina Communal Militia (Nigeria),4,Katsina,Safana,Kunamawa,12.3579,7.3773,5.0
2024-06-05,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Kwara,Ilorin East,Illorin,8.5,4.55,0.0
2024-06-05,2024,Political violence,Violence against civilians,Attack,Niger Communal Militia (Nigeria),4,Niger,Muya,Kapana,10.0169,6.9623,1.0
2024-06-05,2024,Political violence,Violence against civilians,Attack,Niger Communal Militia (Nigeria),4,Niger,Shiroro,Bassa,10.0986,6.6197,3.0
2024-06-05,2024,Political violence,Violence against civilians,Attack,Niger Communal Militia (Nigeria),4,Niger,Shiroro,Gwadara Irina,10.0833,6.6333,7.0
2024-06-05,2024,Political violence,Violence against civilians,Attack,Niger Communal Militia (Nigeria),4,Niger,Shiroro,Irina,10.0824,6.7405,0.0
2024-06-05,2024,Political violence,Violence against civilians,Attack,Niger Communal Militia (Nigeria),4,Niger,Shiroro,Roro,10.1959,6.5914,3.0
2024-06-05,2024,Political violence,Violence against civilians,Attack,Niger Communal Militia (Nigeria),4,Niger,Shiroro,Shiroro,9.96,6.8346,0.0
2024-06-05,2024,Political violence,Battles,Armed clash,Black Axe (Nigeria),3,Oyo,Ibadan North East,Orita Aperin,7.3671,3.9229,1.0
2024-06-05,2024,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),3,Oyo,Kajola,Okeho,8.0345,3.3475,3.0
2024-06-05,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Oyo,Oyo West,Oyo,7.85,3.9333,0.0
2024-06-05,2024,Political violence,Battles,Armed clash,Zamfara Communal Militia (Nigeria),4,Zamfara,Zurmi,Kanwa,12.6974,6.5734,13.0
2024-06-05,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Borno,Bama,Banki,11.2551,14.1482,0.0
2024-06-05,2024,Political violence,Battles,Armed clash,Black Axe (Nigeria),3,Plateau,Jos North,Jos,9.9285,8.8921,1.0
2024-06-05,2024,Political violence,Battles,Armed clash,Unidentified Cult Militia (Nigeria),3,Edo,Egor,Evbuotubu,6.3384,5.5805,1.0
2024-06-05,2024,Political violence,Battles,Armed clash,Black Axe (Nigeria),3,Edo,Oredo,Benin City,6.3351,5.6275,1.0
2024-06-04,2024,Political violence,Violence against civilians,Abduction/forced disappearance,Kogi Communal Militia (Nigeria),4,Kogi,Lokoja,Lokoja,7.8024,6.743,0.0
2024-06-04,2024,Political violence,Explosions/Remote violence,Air/drone strike,MNJTF: Multinational Joint Task Force,8,Borno,Marte,Marte,12.3611,13.8246,146.0
2024-06-04,2024,Political violence,Battles,Armed clash,Unidentified Armed Group (Nigeria),3,Ebonyi,Ohaukwu,Ezamgbo,6.3945,7.9765,0.0
2024-06-04,2024,Political violence,Violence against civilians,Attack,Police Forces of Nigeria (2023-),1,Enugu,Enugu East,Abakpa Nike,6.5183,7.5234,1.0
2024-06-04,2024,Political violence,Riots,Mob violence,Rioters (Nigeria),5,Enugu,Enugu East,Abakpa Nike,6.5183,7.5234,0.0
2024-06-04,2024,Political violence,Riots,Mob violence,Rioters (Nigeria),5,Federal Capital Territory,Kwali,Kwali,8.8672,7.005,1.0
2024-06-04,2024,Political violence,Violence against civilians,Attack,Katsina Communal Militia (Nigeria),4,Katsina,Dutsinma,Dogon Ruwa,12.3229,7.3912,5.0
2024-06-04,2024,Political violence,Violence against civilians,Attack,Katsina Communal Militia (Nigeria),4,Katsina,Safana,Kunamawa,12.3579,7.3773,5.0
2024-06-04,2024,Political violence,Battles,Armed clash,Black Axe (Nigeria),3,Ogun,Ado-Odo,Atan,6.6647,3.0916,1.0
2024-06-04,2024,Political violence,Violence against civilians,Attack,Kaduna Communal Militia (Nigeria),4,Kaduna,Kagarko,Ida,9.4189,7.3511,1.0
2024-06-04,2024,Political violence,Battles,Armed clash,Maphite (Nigeria),3,Edo,Ikpoba Okha,Idogbo,6.2667,5.7167,1.0
2024-06-03,2024,Political violence,Violence against civilians,Abduction/forced disappearance,Islamic State (West Africa),2,Borno,Hawul,Azare,10.4414,12.1193,0.0
2024-06-03,2024,Political violence,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),4,Benue,Makurdi,Antsa,7.7689,8.5885,0.0
2024-06-03,2024,Demonstrations,Riots,Violent demonstration,Rioters (Nigeria),5,Benue,Makurdi,Antsa,7.7689,8.5885,0.0
2024-06-03,2024,Political violence,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),4,Benue,Makurdi,North Bank,7.7549,8.5444,0.0
2024-06-03,2024,Strategic developments,Strategic developments,Agreement,Islamic State (West Africa) - Lake Chad Faction and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,2,Borno,Kaga,Benisheikh,11.8072,12.4909,0.0
2024-06-03,2024,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),3,Ebonyi,Onicha,Isu,6.1667,7.8167,2.0
2024-06-03,2024,Political violence,Battles,Armed clash,Black Axe (Nigeria),3,Edo,Ovia South West,Iguobazuwa,6.566,5.3534,1.0
2024-06-03,2024,Strategic developments,Strategic developments,Other,NLC: Nigeria Labour Congress,3,Federal Capital Territory,Abuja Municipal,Abuja,9.0833,7.5333,0.0
2024-06-03,2024,Political violence,Riots,Mob violence,Rioters (Nigeria),5,Gombe,Gombe,Lafiyawo,10.2792,11.1731,0.0
2024-06-03,2024,Political violence,Violence against civilians,Abduction/forced disappearance,Katsina Communal Militia (Nigeria),4,Katsina,Dutsinma,Dutsin Ma,12.4517,7.4981,0.0
2024-06-03,2024,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),3,Nassarawa,Akwanga,Akwanga,8.9167,8.3833,1.0
2024-06-03,2024,Political violence,Violence against civilians,Abduction/forced disappearance,Niger Communal Militia (Nigeria),4,Niger,Shiroro,Kawo,10.1369,6.7019,0.0
2024-06-03,2024,Political violence,Violence against civilians,Attack,Plateau Communal Militia (Nigeria),4,Plateau,Bassa,Kwal,9.8167,8.65,5.0
2024-06-03,2024,Political violence,Violence against civilians,Attack,Plateau Communal Militia (Nigeria),4,Plateau,Bassa,Miango,9.85,8.7333,2.0
2024-06-03,2024,Political violence,Battles,Armed clash,Police Forces of Nigeria (2023-),1,Plateau,Bokkos,Daffo,9.2333,8.85,2.0
2024-06-03,2024,Strategic developments,Strategic developments,Change to group/activity,Zamfara Communal Militia (Nigeria),4,Zamfara,Talata Mafara,Gidan Kano,12.4672,6.1481,0.0
2024-06-03,2024,Political violence,Riots,Mob violence,Rioters (Nigeria),5,Plateau,Jos North,Jos,9.9285,8.8921,0.0
2024-06-03,2024,Political violence,Battles,Armed clash,Islamic State (West Africa),2,Borno,Bama,Kote,11.3745,14.0177,4.0
2024-06-03,2024,Political violence,Battles,Armed clash,Black Axe (Nigeria),3,Edo,Ikpoba Okha,Idogbo,6.2667,5.7167,0.0
2024-06-03,2024,Political violence,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Nigeria),3,Federal Capital Territory,Bwari,Bwari,9.2833,7.3833,0.0
2024-06-03,2024,Political violence,Riots,Mob violence,Rioters (Nigeria),5,Edo,Oredo,Benin City,6.3351,5.6275,0.0
2024-06-02,2024,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Islamic State (West Africa),2,Borno,Abadan,Malam Fatori,13.6746,13.3395,0.0
2024-06-02,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Imo,Ohaji,Mmahu-Egbema,5.5239,6.7525,0.0
2024-06-02,2024,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Nigeria (2023-),1,Katsina,Kankara,Zango,11.9527,7.2682,10.0
2024-06-02,2024,Political violence,Violence against civilians,Attack,Katsina Communal Militia (Nigeria),4,Katsina,Malumfashi,Malumfashi,11.7853,7.6218,1.0
2024-06-02,2024,Political violence,Riots,Mob violence,Rioters (Nigeria),5,Lagos,Kosofe,Oworonsoki,6.5459,3.4071,0.0
2024-06-02,2024,Political violence,Violence against civilians,Abduction/forced disappearance,Niger Communal Militia (Nigeria),4,Niger,Mashegu,Mashegu,9.8386,5.6941,0.0
2024-06-02,2024,Political violence,Violence against civilians,Abduction/forced disappearance,Niger Communal Militia (Nigeria),4,Niger,Muya,Kuchi,9.9384,7.0212,0.0
2024-06-02,2024,Political violence,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Nigeria),3,Ogun,Ijebu East,Ijebu Imushin,6.8,4.0,0.0
2024-06-02,2024,Political violence,Battles,Armed clash,Black Axe (Nigeria),3,Oyo,Egbeda,Olode,7.3848,3.9949,1.0
2024-06-02,2024,Political violence,Violence against civilians,Attack,Taraba Communal Militia (Nigeria),4,Taraba,Karim Lamidu,Karim Lamido,9.3202,11.1928,1.0
2024-06-02,2024,Political violence,Battles,Armed clash,Military Forces of Nigeria (2023-),1,Kaduna,Kagarko,Janjala,9.55,7.6833,2.0
2024-06-02,2024,Political violence,Battles,Armed clash,Black Axe (Nigeria),3,Abia,Osisioma,Osisioma,5.1598,7.3224,0.0
2024-06-02,2024,Strategic developments,Strategic developments,Looting/property destruction,Islamic State (West Africa),2,Yobe,Geidam,Geidam,12.897,11.9304,0.0
2024-06-02,2024,Political violence,Battles,Armed clash,Black Axe (Nigeria),3,Edo,Oredo,Benin City,6.3351,5.6275,1.0
2024-06-01,2024,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),3,Ebonyi,Ikwo,Ikwo,6.0716,8.1028,1.0
2024-06-01,2024,Political violence,Battles,Armed clash,Unidentified Armed Group (Nigeria),3,Benue,Ogbadibo,Orokam,6.989,7.5796,0.0
2024-06-01,2024,Political violence,Battles,Armed clash,Black Axe (Nigeria),3,Edo,Etsako West,Auchi,7.0667,6.2667,2.0
2024-06-01,2024,Political violence,Violence against civilians,Attack,Fulani Ethnic Militia (Nigeria),4,Enugu,Uzo Uwani,Opanda,6.7994,7.0914,1.0
2024-06-01,2024,Political violence,Violence against civilians,Sexual violence,Fulani Ethnic Militia (Nigeria),4,Enugu,Uzo Uwani,Ugwu-Uvuru,6.7509,7.2136,1.0
2024-06-01,2024,Political violence,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Nigeria),3,Taraba,Takum,Takum,7.2667,9.9833,0.0
2024-06-01,2024,Political violence,Violence against civilians,Attack,Plateau Communal Militia (Nigeria),4,Plateau,Jos South,Gero,9.8301,8.828,1.0
2024-06-01,2024,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),3,Ondo,Akoko South West,Akunba,7.4696,5.7362,1.0
2024-06-01,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Rivers,Port Harcourt,Port Harcourt,4.7774,7.0134,0.0
2024-06-01,2024,Political violence,Battles,Armed clash,Black Axe (Nigeria),3,Edo,Oredo,Benin City,6.3351,5.6275,2.0
2024-06-01,2024,Political violence,Violence against civilians,Attack,Unidentified Cult Militia (Nigeria),3,Edo,Oredo,Benin City,6.3351,5.6275,1.0
2024-05-31,2024,Political violence,Battles,Armed clash,IPOB: Indigenous Peoples of Biafra,2,Abia,Ohafia,Ohafia,5.6261,7.8306,3.0
2024-05-31,2024,Political violence,Battles,Non-state actor overtakes territory,Anam Communal Militia (Nigeria),4,Anambra,Anambra West,Anam,6.3295,6.7469,0.0
2024-05-31,2024,Strategic developments,Strategic developments,Change to group/activity,Islamic State (West Africa) and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,2,Borno,Konduga,Garin Kuturu,11.8501,12.8616,0.0
2024-05-31,2024,Strategic developments,Strategic developments,Change to group/activity,Islamic State (West Africa),2,Borno,Mobbar,Damasak,13.0977,12.4952,0.0
2024-05-31,2024,Strategic developments,Strategic developments,Looting/property destruction,Islamic State (West Africa),2,Borno,Mobbar,Karetu,12.8847,12.5081,0.0
2024-05-31,2024,Political violence,Battles,Armed clash,Black Axe (Nigeria),3,Edo,Etsako West,Auchi,7.0667,6.2667,2.0
2024-05-31,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Federal Capital Territory,Abuja Municipal,Abuja,9.0833,7.5333,0.0
2024-05-31,2024,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Nigeria (2023-),1,Kaduna,Giwa,Bula,10.9314,7.1338,10.0
2024-05-31,2024,Political violence,Violence against civilians,Attack,Katsina Communal Militia (Nigeria),4,Katsina,Kankara,Kankara,11.9302,7.4127,2.0
2024-05-31,2024,Political violence,Violence against civilians,Attack,"OSPAC: ONELGA Security, Planning and Advisory Committee",4,Rivers,Emohua,Egbeda,5.2341,6.7519,1.0
2024-05-31,2024,Political violence,Riots,Mob violence,Rioters (Nigeria),5,Rivers,Emohua,Egbeda,5.2341,6.7519,0.0
2024-05-31,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Rivers,Emohua,Egbeda,5.2341,6.7519,0.0
2024-05-31,2024,Political violence,Battles,Armed clash,Black Axe (Nigeria),3,Edo,Ikpoba Okha,Ikpoba Slope,6.3516,5.6467,1.0
2024-05-30,2024,Political violence,Battles,Armed clash,IPOB: Indigenous Peoples of Biafra,2,Abia,Obioma Ngwa,Obikabia Junction,5.1243,7.3926,5.0
2024-05-30,2024,Political violence,Battles,Armed clash,Police Forces of Nigeria (2023-),1,Anambra,Idemili South,Oba,6.0667,6.8403,1.0
2024-05-30,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Bayelsa,Yenagoa,Yenagoa,4.9247,6.2642,0.0
2024-05-30,2024,Political violence,Battles,Armed clash,Military Forces of Nigeria (2023-),1,Borno,Gwoza,Pulka,11.1767,13.8256,4.0
2024-05-30,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Delta,Oshimili South,Asaba,6.2006,6.7339,0.0
2024-05-30,2024,Political violence,Battles,Armed clash,Black Axe (Nigeria),3,Edo,Etsako West,Auchi,7.0667,6.2667,1.0
2024-05-30,2024,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Nigeria (2023-),1,Kaduna,Giwa,Bula,10.9314,7.1338,10.0
2024-05-30,2024,Political violence,Violence against civilians,Attack,Katsina Communal Militia (Nigeria),4,Katsina,Dutsinma,Katsalle,12.3809,7.4886,7.0
2024-05-30,2024,Political violence,Violence against civilians,Attack,Katsina Communal Militia (Nigeria),4,Katsina,Kankara,Kankara,11.9302,7.4127,5.0
2024-05-30,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Lagos,Eti-Osa,Aja,6.4696,3.5629,0.0
2024-05-30,2024,Political violence,Violence against civilians,Attack,Police Forces of Nigeria (2023-),1,Lagos,Lagos Island,Lagos Island,6.4542,3.3918,0.0
2024-05-30,2024,Political violence,Battles,Armed clash,Military Forces of Nigeria (2023-),1,Kaduna,Giwa,Galadimawa,11.061,7.3071,6.0
2024-05-30,2024,Strategic developments,Strategic developments,Looting/property destruction,Kaduna Communal Militia (Nigeria),4,Kaduna,Giwa,Galadimawa,11.061,7.3071,0.0
2024-05-30,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Plateau,Jos North,Jos,9.9285,8.8921,0.0
2024-05-30,2024,Political violence,Battles,Armed clash,Black Axe (Nigeria),3,Edo,Ovia North East,Ogheghe,6.4111,5.552,2.0
2024-05-30,2024,Political violence,Violence against civilians,Attack,IPOB: Indigenous Peoples of Biafra,2,Imo,Onuimo,Okwe,5.7687,7.2175,2.0
2024-05-30,2024,Political violence,Violence against civilians,Attack,Zamfara Communal Militia (Nigeria),4,Zamfara,Gusau,Gusau,12.1628,6.6614,2.0
2024-05-29,2024,Political violence,Violence against civilians,Attack,Katsina Communal Militia (Nigeria),4,Katsina,Dutsinma,Katsalle,12.3809,7.4886,3.0
2024-05-29,2024,Political violence,Violence against civilians,Attack,Niger Communal Militia (Nigeria),4,Niger,Muya,Sarkin Pawa,10.0209,7.1124,1.0
2024-05-29,2024,Political violence,Riots,Mob violence,Rioters (Nigeria),5,Adamawa,Mubi South,Wuro Patuji,10.2667,13.2859,0.0
2024-05-29,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Bayelsa,Ogbia,Kolo Creek,4.6972,6.3213,0.0
2024-05-29,2024,Political violence,Battles,Armed clash,Police Forces of Nigeria (2023-),1,Benue,Ukum,Sankera,7.5353,9.6522,3.0
2024-05-29,2024,Political violence,Battles,Armed clash,Military Forces of Nigeria (2023-),1,Borno,Abadan,Parisu,13.1649,13.1827,3.0
2024-05-29,2024,Strategic developments,Strategic developments,Agreement,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,2,Borno,Bama,Bama,11.5221,13.6856,0.0
2024-05-29,2024,Strategic developments,Strategic developments,Change to group/activity,Islamic State (West Africa),2,Borno,Guzamala,Mairari,12.7559,13.4349,0.0
2024-05-29,2024,Political violence,Violence against civilians,Attack,Police Forces of Nigeria (2023-),1,Enugu,Enugu North,Enugu,6.4426,7.5022,0.0
2024-05-29,2024,Political violence,Violence against civilians,Attack,IPOB: Indigenous Peoples of Biafra,2,Enugu,Igbo Eze South,Ibegwa-Aka,6.9185,7.399,0.0
2024-05-29,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Federal Capital Territory,Abuja Municipal,Abuja,9.0833,7.5333,0.0
2024-05-29,2024,Political violence,Violence against civilians,Attack,Kaduna Communal Militia (Nigeria),4,Kaduna,Kajuru,Maro,10.0817,7.7247,12.0
2024-05-29,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Ondo,Ilaje,Aiyetoro,6.1073,4.7765,0.0
2024-05-29,2024,Political violence,Battles,Armed clash,Military Forces of Nigeria (2023-),1,Sokoto,Binji,Binji,13.2229,4.9089,1.0
2024-05-29,2024,Political violence,Violence against civilians,Attack,Islamic State (West Africa),2,Borno,Monguno,Monguno,12.6786,13.6079,0.0
2024-05-29,2024,Political violence,Riots,Mob violence,Rioters (Nigeria),5,Kaduna,Kagarko,Kuchimi,9.5888,7.6722,0.0
2024-05-29,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Bayelsa,Ogbia,Otuasiga,4.9207,6.3992,0.0
2024-05-29,2024,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),6,Rivers,Port Harcourt,Port Harcourt,4.7774,7.0134,0.0
2024-05-29,2024,Political violence,Battles,Armed clash,Black Axe (Nigeria),3,Edo,Oredo,Benin City,6.3351,5.6275,2.0
2024-05-29,2024,Political violence,Battles,Armed clash,Military Forces of Nigeria (2023-),1,Borno,Konduga,Aulari,11.5432,13.5943,3.0
2024-05-28,2024,Political violence,Battles,Armed clash,Islamic State (West Africa),2,Borno,Bama,Bula Umar,11.4989,14.2351,0.0
